ORF1	NAME1	ORF2	NAME2
YDR501W	PLM2	YGR169C-A	YGR169C-A
YLR027C	AAT2	YPL004C	LSP1
YDR238C	SEC26	YKL004W	AUR1
YML072C	TCB3	YMR011W	HXT2
YJL178C	ATG27	YOR316C	COT1
YBL102W	SFT2	YBR241C	YBR241C
YDL123W	SNA4	YML121W	GTR1
YGL078C	DBP3	YLR196W	PWP1
YJL076W	NET1	YPR187W	RPO26
YGL055W	OLE1	YML016C	PPZ1
YGR082W	TOM20	YHR060W	VMA22
YIR026C	YVH1	YIR038C	GTT1
YBR200W	BEM1	YGR238C	KEL2
YGL251C	HFM1	YNL229C	URE2
YER145C	FTR1	YPL221W	FLC1
YNL031C	HHT2	YNL031C	HHT2
YLR028C	ADE16	YLR028C	ADE16
YCR030C	SYP1	YLR206W	ENT2
YER035W	EDC2	YPL004C	LSP1
YBR283C	SSH1	YGR060W	ERG25
YGR161C	RTS3	YMR299C	DYN3
YLR245C	CDD1	YLR245C	CDD1
YBR234C	ARC40	YOR181W	LAS17
YFL005W	SEC4	YOL147C	PEX11
YMR109W	MYO5	YMR109W	MYO5
YDR329C	PEX3	YOL147C	PEX11
YBR102C	EXO84	YBR102C	EXO84
YIL009W	FAA3	YPR156C	TPO3
YGR163W	GTR2	YKR007W	MEH1
YLR258W	GSY2	YMR120C	ADE17
YGL056C	SDS23	YPL058C	PDR12
YDR170C	SEC7	YGR229C	SMI1
YDL213C	NOP6	YNL112W	DBP2
YML012W	ERV25	YOR016C	ERP4
YGL040C	HEM2	YGL040C	HEM2
YLR273C	PIG1	YOR393W	ERR1
YML072C	TCB3	YPL058C	PDR12
YDR427W	RPN9	YOR261C	RPN8
YDL123W	SNA4	YKR007W	MEH1
YDR032C	PST2	YJL016W	YJL016W
YAR002C-A	ERP1	YOR165W	SEY1
YGR138C	TPO2	YLR332W	MID2
YDR297W	SUR2	YML012W	ERV25
YHR170W	NMD3	YPR016C	TIF6
YAL017W	PSK1	YLL061W	MMP1
YJL061W	NUP82	YMR047C	NUP116
YBR154C	RPB5	YPL129W	TAF14
YHR069C	RRP4	YPR189W	SKI3
YBR052C	RFS1	YGL077C	HNM1
YAL053W	FLC2	YKL051W	SFK1
YCL037C	SRO9	YGL178W	MPT5
YLR025W	SNF7	YLR025W	SNF7
YBR207W	FTH1	YFL041W	FET5
YIR038C	GTT1	YMR149W	SWP1
YBR154C	RPB5	YOR151C	RPB2
YOR069W	VPS5	YOR069W	VPS5
YGL055W	OLE1	YML012W	ERV25
YBL011W	SCT1	YBR002C	RER2
YGL153W	PEX14	YNL214W	PEX17
YDL065C	PEX19	YPL112C	PEX25
YDR264C	AKR1	YFR051C	RET2
YML058W-A	HUG1	YNL243W	SLA2
YGR055W	MUP1	YLR413W	YLR413W
YOR151C	RPB2	YPR133C	SPN1
YIL121W	QDR2	YLL028W	TPO1
YBR041W	FAT1	YKL140W	TGL1
