	orf_name_a	gene_name_a	orf_name_b	gene_name_b	Zone	GI_PCC	CS_PCC	GE_PCC
2887	YHR051W	COX6	YIL111W	COX5B	A	0.0083	NA	NA
2888	YHR051W	COX6	YMR153W	NUP53	B	-0.03302	NA	NA
2890	YHR057C	CPR2	YMR214W	SCJ1	D	-0.02293	-0.058082501	0.172
2891	YHR057C	CPR2	YNL232W	CSL4	C	-0.01791	NA	0.0435
2892	YHR060W	VMA22	YKL119C	VPH2	C	NA	NA	0.488
2897	YHR067W	HTD2	YKL192C	ACP1	D	NA	NA	0.0255
2898	YHR067W	HTD2	YML064C	TEM1	D	0.0444	NA	0.311
2902	YHR072W-A	NOP10	YLR175W	CBF5	A	-0.03814	NA	0.5406
2906	YHR075C	PPE1	YJR003C	MRX12	C	0.04195	0.053835251	NA
2908	YHR076W	PTC7	YPR159W	KRE6	D	NA	NA	NA
2910	YHR089C	GAR1	YLR175W	CBF5	A	-0.05812	NA	0.8784
2911	YHR090C	YNG2	YNL086W	SNN1	B	NA	NA	NA
2918	YHR105W	YPT35	YLR183C	TOS4	D	0.06334	0.081770342	NA
2921	YHR109W	CTM1	YKL029C	MAE1	C	-0.01021	0.018994643	0.0943
2937	YHR113W	APE4	YNL078W	NIS1	D	0.0418	-0.040936201	0.2035
2952	YHR115C	DMA1	YLR215C	CDC123	C	NA	NA	0.2497
2957	YHR123W	EPT1	YJL163C		D	0.01187	0.025707288	NA
2959	YHR123W	EPT1	YPR159W	KRE6	D	NA	NA	NA
2964	YHR129C	ARP1	YLR102C	APC9	B	-0.03541	0.313291002	NA
2970	YHR134W	WSS1	YOR285W	RDL1	D	-0.00983	0.025356643	0.0751
2973	YHR141C	RPL42B	YML088W	UFO1	B	-0.01552	NA	-0.0349
2974	YHR149C	SKG6	YMR153W	NUP53	C	-0.00368	NA	NA
2980	YHR159W	TDA11	YML064C	TEM1	D	-0.04814	NA	NA
2981	YHR159W	TDA11	YNL189W	SRP1	C	0.03382	NA	NA
2985	YHR161C	YAP1801	YNL020C	ARK1	D	0.03881	0.489724614	NA
2987	YHR166C	CDC23	YHR169W	DBP8	C	NA	NA	0.2511
2988	YHR166C	CDC23	YJL036W	SNX4	B	-0.01877	NA	0.4183
2996	YHR169W	DBP8	YLR052W	IES3	C	NA	NA	NA
2997	YHR169W	DBP8	YNR054C	ESF2	C	NA	NA	0.7631
2998	YHR170W	NMD3	YLR291C	GCD7	B	0.06291	NA	0.5545
2999	YHR170W	NMD3	YML051W	GAL80	C	-0.00442	NA	0.0801
3000	YHR170W	NMD3	YPL070W	MUK1	B	0.01536	NA	-0.1169
3003	YHR173C		YMR214W	SCJ1	D	NA	NA	NA
3004	YHR181W	SVP26	YOR181W	LAS17	C	-0.00342	NA	0.076
3010	YHR192W	LNP1	YPR159W	KRE6	D	NA	NA	0.2102
3018	YIL001W		YOR158W	PET123	C	NA	0.097865025	0.2532
3020	YIL009C-A	EST3	YPL024W	RMI1	B	0.00506	NA	0.1391
3022	YIL018W	RPL2B	YKL075C		C	0.0503	0.335505625	-0.1112
3030	YIL035C	CKA1	YOR061W	CKA2	A	0.09116	0.123021209	0.374
3032	YIL041W	GVP36	YJL044C	GYP6	D	-0.01197	0.146501493	0.1374
3033	YIL043C	CBR1	YML088W	UFO1	C	-0.02221	-0.021019988	NA
3034	YIL044C	AGE2	YNR023W	SNF12	C	-0.05268	NA	0.3815
3037	YIL046W	MET30	YML082W		C	-0.03905	NA	NA
3039	YIL050W	PCL7	YPL031C	PHO85	B	0.03384	NA	0.3727
